Time,Active App
2026-05-23 03:50:05.285786,Smart Study Focus Tracker and 5 more pages - Personal - Microsoft​ Edge
2026-05-23 03:50:07.286863,Smart Study Focus Tracker and 5 more pages - Personal - Microsoft​ Edge
2026-05-23 03:50:09.287939,App Tracking Issue - Google Chrome
2026-05-23 03:50:11.289067,The girl who laughed at everything in Hindi | @HindiFairyTales - YouTube - Google Chrome
2026-05-23 03:50:13.290318,whatsapp web - Google Search - Google Chrome
2026-05-23 03:50:15.304916,WhatsApp - Google Chrome
2026-05-23 03:50:17.309176,WhatsApp - Google Chrome
2026-05-23 03:50:19.310409,WhatsApp - Google Chrome
2026-05-23 03:50:21.312104,WhatsApp - Google Chrome
2026-05-23 03:50:23.313474,Lecture 1 : Flowchart & Pseudocode + Installation | DSA Series by Shradha Khapra Ma'am | C++ - YouTube - Google Chrome
2026-05-23 03:50:25.317829,Lecture 1 : Flowchart & Pseudocode + Installation | DSA Series by Shradha Khapra Ma'am | C++ - YouTube - Google Chrome
2026-05-23 03:50:27.319336,Lecture 1 : Flowchart & Pseudocode + Installation | DSA Series by Shradha Khapra Ma'am | C++ - YouTube - Google Chrome
2026-05-23 03:50:29.320113,Lecture 1 : Flowchart & Pseudocode + Installation | DSA Series by Shradha Khapra Ma'am | C++ - YouTube - Google Chrome
2026-05-23 03:50:31.322019,App Tracking Issue - Google Chrome
2026-05-23 03:50:33.323825,● app.py - Desktop - Visual Studio Code
2026-05-23 03:50:35.325229,Smart Study Focus Tracker and 5 more pages - Personal - Microsoft​ Edge
2026-05-23 03:50:37.326990,Smart Study Focus Tracker and 5 more pages - Personal - Microsoft​ Edge
2026-05-23 03:50:39.335274,Smart Study Focus Tracker and 5 more pages - Personal - Microsoft​ Edge
2026-05-23 03:50:41.343078,Smart Study Focus Tracker and 5 more pages - Personal - Microsoft​ Edge
2026-05-23 03:50:43.344169,Smart Study Focus Tracker and 5 more pages - Personal - Microsoft​ Edge
