Time,Active App
2026-05-23 22:36:54.739132,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:36:55.741447,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:36:56.744141,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:36:57.746388,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:36:58.748621,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:36:59.751035,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:00.753704,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:01.755577,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:02.758032,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:03.760513,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:04.763227,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:05.765342,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:06.768002,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:07.770231,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:08.772439,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:09.774534,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:10.776735,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:11.779738,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:12.782220,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:13.785028,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:14.788500,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:15.790404,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:16.792403,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:17.794999,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:18.797043,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:19.799368,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:20.802063,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:21.803684,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:22.806934,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:23.822279,LinkedIn - Google Chrome
2026-05-23 22:37:24.826114,LinkedIn - Google Chrome
2026-05-23 22:37:25.829489,LinkedIn - Google Chrome
2026-05-23 22:37:26.831517,Meesho - Google Chrome
2026-05-23 22:37:27.834214,Meesho - Google Chrome
2026-05-23 22:37:28.837879,Meesho - Google Chrome
2026-05-23 22:37:29.840245,Meesho - Google Chrome
2026-05-23 22:37:30.843141,Meesho - Google Chrome
2026-05-23 22:37:31.847637,Meesho - Google Chrome
2026-05-23 22:37:32.849924,youtube.com/watch?v=qR9U6bKxJ7g - Google Chrome
2026-05-23 22:37:33.851364,Lecture 3: Conditional Statements & Loops | DSA Series by Shradha Ma'am | C++ - YouTube - Google Chrome
2026-05-23 22:37:34.852857,Lecture 3: Conditional Statements & Loops | DSA Series by Shradha Ma'am | C++ - YouTube - Google Chrome
2026-05-23 22:37:35.860458,Lecture 3: Conditional Statements & Loops | DSA Series by Shradha Ma'am | C++ - YouTube - Google Chrome
2026-05-23 22:37:36.863621,Lecture 3: Conditional Statements & Loops | DSA Series by Shradha Ma'am | C++ - YouTube - Google Chrome
2026-05-23 22:37:37.867944,Lecture 3: Conditional Statements & Loops | DSA Series by Shradha Ma'am | C++ - YouTube - Google Chrome
2026-05-23 22:37:38.871382,Lecture 3: Conditional Statements & Loops | DSA Series by Shradha Ma'am | C++ - YouTube - Google Chrome
2026-05-23 22:37:39.875770,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:40.878435,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:41.881751,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:42.884034,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:43.887428,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:44.891008,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:45.894183,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:46.896873,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:47.899077,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:48.901262,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:49.904667,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:50.906754,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:51.909624,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:52.912811,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
2026-05-23 22:37:53.915550,Smart Study Focus Tracker and 9 more pages - Personal - Microsoft​ Edge
